dateAdded,url,title
2021-01-15,https://matthewreinbold.com/2021/01/08/WhyAISuccessIsAPIBuilt/,Why AI Success is API Built
2021-01-15,https://opensource.googleblog.com/2021/01/the-api-registry-api.html,The API Registry API | Google Open Source Blog
2021-01-15,https://tyk.io/3-ways-to-try-out-your-api-design-before-you-build/,3 ways to try out your API design before you build - Tyk API Gateway and API Management
2021-01-18,https://www.theregister.com/2021/01/15/20_years_of_drupal/,"20 years of Drupal: Founder Dries Buytaert on API first, the end of breaking compatibility, and JavaScript bloat"
2021-01-22,https://nordicapis.com/4-ways-your-api-specification-can-fall-short-and-what-to-do-about-it/,4 Ways Your API Specification Can Fall Short (And What to Do About It) | Nordic APIs
2021-01-22,https://twitter.com/dancohen/status/1350831682350415872,Never Been Seen | Science Museum Group Collection
2021-01-22,https://www.howtographql.com/,How to GraphQL - The Fullstack Tutorial for GraphQL
2021-02-05,https://apievangelist.com/2021/01/30/making-sense-of-the-different-types-of-api-testing/,Making Sense of the Different Types of API Testing
2021-02-05,https://apifriends.com/news/api-news-roundup-january-2021/,API News Roundup – January 2021
2021-02-05,https://www.radware.com/newsevents/pressreleases/2021/api-abuse-threat-bot-traffic,ShieldSquare Captcha
2021-02-12,https://cloud.google.com/blog/products/api-management/top-5-trends-for-api-powered-digital-transformation-in-2021,Google Cloud State of APIs Report - Digital Transformation | Google Cloud Blog
2021-02-12,https://nordicapis.com/generating-web-api-tests-from-an-openapi-specification/,Generating Web API Tests From an OpenAPI Specification | Nordic APIs
2021-02-12,https://www.apiscene.io/graphql/graphql-apis-avoiding-security-pitfalls/,GraphQL APIs :Avoiding Security Pitfalls - APIscene
2021-02-12,https://www.forbes.com/sites/adrianbridgwater/2021/01/11/where-its-at-geospatial-commission-charts-api-route-to-map-data-sharing/,"Where It's At, Geospatial Commission Charts API Route To Map Data Sharing"
2021-02-19,https://joemorrison.medium.com/openstreetmap-is-having-a-moment-dcc7eef1bb01,OpenStreetMap is Having a Moment. The Billion Dollar Dataset Next Door
2021-02-19,https://searchapparchitecture.techtarget.com/tip/10-API-security-guidelines-and-best-practices,10 API security guidelines and best practices
2021-02-19,https://www.brighttalk.com/webcast/17994/464062,Best Practices for Modern API Testing
2021-02-19,https://www.youtube.com/watch?v=xZQNZhRcCXw,REST vs. GraphQL: Making the Right Choice
2021-02-26,https://blog.postman.com/how-to-set-up-public-workspaces/,How to Set Up Your First Public Workspace in 5 Steps | Postman Blog
2021-02-26,https://blog.postman.com/postman-api-hackathon-winners/,"Announcing the $100,000 Postman API Hack Winners | Postman Blog"
2021-02-26,https://medium.com/swlh/building-systems-with-static-apis-631c165d3882,Building Systems With Static APIs | The Startup
2021-02-26,https://netflixtechblog.com/beyond-rest-1b76f7c20ef6,Beyond REST: Rapid Development With GraphQL Microservices | Netflix TechBlog
2021-02-26,https://www.openapis.org/blog/2021/02/16/migrating-from-openapi-3-0-to-3-1-0,Migrating from OpenAPI 3.0 to 3.1.0 - OpenAPI Initiative
2021-03-05,http://apistylebook.com/,API Stylebook
2021-03-05,https://medium.com/event-driven-utopia/understanding-asyncapis-with-a-practical-example-ee2b4be221d8,Understanding AsyncAPIs with a Practical Example
2021-03-05,https://nordicapis.com/top-expectations-for-api-products-in-2021/,Top Expectations for API Products in 2021 | Nordic APIs
2021-03-05,https://towardsdatascience.com/the-design-of-an-event-store-8c751c47db6f,The Design of an Event Store. The road beyond event sourcing | Towards Data Science
2021-03-12,https://curity.medium.com/jwts-and-how-to-use-them-5a31d3a3759b,JWTs and how to use them | Curity
2021-03-12,https://github.com/roapi/roapi,GitHub - roapi/roapi: Create full-fledged APIs for static datasets without writing a single line of code
2021-03-12,https://pronovix.com/blog/which-api-management-tool,Which API management tool? | Pronovix
2021-03-12,https://www.notboring.co/p/apis-all-the-way-down,APIs All the Way Down - Not Boring
2021-03-19,https://darutk.medium.com/financial-grade-api-fapi-explained-by-an-implementer-d09fcf2ff932,"Financial-grade API (FAPI), explained by an implementer"
2021-03-19,https://emmaparnell.medium.com/lets-talk-about-sex-6bb64c7e8f0c,Let’s talk about sex*
2021-03-19,https://nordicapis.com/challenges-the-api-industry-faces-in-2021/,Challenges the API Industry Faces in 2021 | Nordic APIs
2021-03-19,https://openid.net/2021/03/12/fapi-1-0-part-1-and-part-2-are-now-final-specifications/,FAPI 1.0 Part 1 and Part 2 are now Final Specifications | OpenID
2021-03-19,https://the-api-collective.com/,The API Collective - A List of Free and Public APIs
2021-03-19,https://twitter.com/worddoodles_EP/status/1372903483679109120,Last night the gender question was removed from the vaccine booking service hosted on NHS...
2021-03-19,https://www.asyncapi.com/blog/governance-motivation,Finding a Good Open Governance Model for AsyncAPI | AsyncAPI Initiative for event-driven APIs
2021-03-26,https://apievangelist.com/2021/03/25/setting-a-baseline-api-lifecycle-definition/,Setting a Baseline API Lifecycle Definition
2021-03-26,https://blog.postman.com/the-future-of-graphql/,The Future of GraphQL | Postman Blog
2021-03-26,https://www.computing.co.uk/opinion/4027919/reaping-rewards-graphql,Reaping the rewards of GraphQL: How to minimise pain points of implementation
2021-03-26,https://www.youtube.com/watch?v=eu2n1i899rk,Introducing GraphQL in Large Organizations: Is API Governance Creating Monocultures?
2021-04-01,https://blog.cloudflare.com/api-abuse-detection/,Announcing API Abuse Detection
2021-04-01,https://nordicapis.com/api-first-companies-the-next-generation/,API-First Companies: The Next Generation | Nordic APIs
2021-04-01,https://stoplight.io/blog/api-design-workflow-webinar-recap/,A Practical Guide to API Design-First
2021-04-01,https://www.getpinwheel.com/blog/how-we-launched-api-docs-without-writing-api-docs,Tech spotlight: How we re-launched our API docs without actually writing API docs
2021-04-09,https://blog.container-solutions.com/api-versioning-what-is-it-why-so-hard,API Versioning: What Is It and Why Is It So Hard?
2021-04-09,https://fusionauth.io/learn/expert-advice/oauth/modern-guide-to-oauth/,The Modern Guide to OAuth - FusionAuth
2021-04-09,https://github.blog/2021-04-05-how-we-scaled-github-api-sharded-replicated-rate-limiter-redis/,"How we scaled the GitHub API with a sharded, replicated rate limiter in Redis | The GitHub Blog"
2021-04-09,https://tyk.io/a-case-study-in-api-platform-growth/,A Case Study in API Platform Growth - Tyk API Gateway and API Management
2021-04-23,https://api.gov.uk/graphql,DRAFT | Using GraphQL for your API
2021-04-23,https://apitracker.io/,Discover the best APIs and SaaS products | API Tracker
2021-04-23,https://cloud.google.com/blog/products/api-management/understanding-grpc-openapi-and-rest-and-when-to-use-them,"gRPC vs REST: Understanding gRPC, OpenAPI and REST and when to use them in API design | Google Cloud Blog"
2021-04-23,https://community.ibm.com/community/user/integration/blogs/dale-lane1/2021/04/19/other-ways-to-use-asyncapi-documents,Other ways to use AsyncAPI documents
2021-04-23,https://stoplight.io/blog/how-many-apis-are-we-running-in-production/,How Many APIs Are We Running in Production?
2021-04-23,https://stoplight.io/podcast/,"The API Intersection podcast, hosted by Jason Harmon | Stoplight"
2021-04-23,https://www.asyncapi.com/blog/websocket-part1,"WebSocket, Shrek, and AsyncAPI - An Opinionated Intro | AsyncAPI Initiative for event-driven APIs"
2021-04-30,https://apihandyman.io/this-is-not-the-http-method-you-re-looking-for-http-status-code-404-vs-405-vs-501/,"API Handyman | This is not the HTTP method you're looking for, HTTP status code 404 vs 405 vs 501"
2021-04-30,https://portswigger.net/web-security/oauth,OAuth 2.0 authentication vulnerabilities | Web Security Academy
2021-04-30,https://stoplight.io/blog/how-to-bring-design-first-apis-to-your-organization/,How to Bring Design-First APIs to Your Organization
2021-04-30,https://stories.platformdesigntoolkit.com/design-apis-for-disobedience-7894f930e2cc,Design APIs for Disobedience. Components & Platforms to Empower… | Stories of Platform Design
2021-05-07,https://blog.stoplight.io/security-practices-the-key-to-scaling-your-api-strategy/,Security Practices: The Key to Scaling Your API Strategy
2021-05-07,https://blog.vnaik.com/posts/web-attacks.html,"CSRF, CORS, and HTTP Security headers Demystified"
2021-05-07,https://krebsonsecurity.com/2021/04/experian-api-exposed-credit-scores-of-most-americans/,Experian API Exposed Credit Scores of Most Americans – Krebs on Security
2021-05-07,https://nordicapis.com/11-space-apis-because-space-is-neat/,"11 Space APIs, Because Space is Neat | Nordic APIs"
